repo_name, access
EC-PORTAL-8/ConnActivityStream, admin
EC-PORTAL-8/DocumentMeetingWidget, admin
EC-PORTAL-8/DocumentViewer, admin
EC-PORTAL-8/FIAI_Document_TreeViewer, admin
EC-PORTAL-8/FIAI_Entity_Treeviewer, admin
EC-PORTAL-8/FIAI_SummaryForm, admin
EC-PORTAL-8/Generic-Grid-Widget, admin
EC-PORTAL-8/JSSnippets, admin
EC-PORTAL-8/MyFavouriteReports, admin
EC-PORTAL-8/Page-Request-Filter, admin
EC-PORTAL-8/PeopleByTag, admin
EC-PORTAL-8/QuickLinksWidget, admin
EC-PORTAL-8/ReportSet, admin
EC-PORTAL-8/Search-Text-Box, admin
EC-PORTAL-8/SearchResults, admin
EC-PORTAL-8/SearchResultsV3, admin
EC-PORTAL-8/SharePointDocLibViewer, admin
EC-PORTAL-8/SharePointDocSetViewer, admin
EC-PORTAL-8/Transaction-Form-Widget, admin
EC-PORTAL-8/TreeViewerWidget, admin
EC-PORTAL-8/WidgetSelfServ, admin
